Corpus	InfMorpho	FreqCount	WDNoSLE	TypeCont	PhonEnd	OrthCont	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	ALL	G1	5	ain	cs	193	2	0.01036269
Lexique	All Words	Type	ALL	G1	5	ain	g	193	1	0.00518135
Lexique	All Words	Type	ALL	G1	5	ain	gs	193	1	0.00518135
Lexique	All Words	Type	SUB	G1	5	ain	s	101	84	0.83168317
Lexique	All Words	Type	SUB	G1	5	ain	t	101	6	0.05940594
Lexique	All Words	Type	SUB	G1	5	ain	ts	101	5	0.04950495
Lexique	All Words	Type	SUB	G1	5	ain	c	101	2	0.01980198
Lexique	All Words	Type	SUB	G1	5	ain	cs	101	2	0.01980198
Lexique	All Words	Type	SUB	G1	5	ain	g	101	1	0.00990099
Lexique	All Words	Type	SUB	G1	5	ain	gs	101	1	0.00990099
Lexique	All Words	Token	ALL	G1	5	ain	#	3498.86	2452.29	0.70088257
Lexique	All Words	Token	ALL	G1	5	ain	s	3498.86	927.84	0.26518352
Lexique	All Words	Token	ALL	G1	5	ain	t	3498.86	90.07	0.02574267
Lexique	All Words	Token	ALL	G1	5	ain	ts	3498.86	26.08	0.00745386
Lexique	All Words	Token	ALL	G1	5	ain	gs	3498.86	1.22	0.00034869
Lexique	All Words	Token	ALL	G1	5	ain	c	3498.86	0.61	0.00017434
Lexique	All Words	Token	ALL	G1	5	ain	cs	3498.86	0.55	0.00015719
Lexique	All Words	Token	ALL	G1	5	ain	g	3498.86	0.2	0.00005716
Lexique	All Words	Token	SUB	G1	5	ain	s	1046.57	927.84	0.88655322
Lexique	All Words	Token	SUB	G1	5	ain	t	1046.57	90.07	0.08606209
Lexique	All Words	Token	SUB	G1	5	ain	ts	1046.57	26.08	0.0249195
Lexique	All Words	Token	SUB	G1	5	ain	gs	1046.57	1.22	0.00116571
Lexique	All Words	Token	SUB	G1	5	ain	c	1046.57	0.61	0.00058286
Lexique	All Words	Token	SUB	G1	5	ain	cs	1046.57	0.55	0.00052553
Lexique	All Words	Token	SUB	G1	5	ain	g	1046.57	0.2	0.0001911
Lexique	Uninflected	Type	ALL	G1	5	ain	#	97	92	0.94845361
Lexique	Uninflected	Type	ALL	G1	5	ain	t	97	4	0.04123711
Lexique	Uninflected	Type	ALL	G1	5	ain	g	97	1	0.01030928
Lexique	Uninflected	Type	SUB	G1	5	ain	t	5	4	0.8
Lexique	Uninflected	Type	SUB	G1	5	ain	g	5	1	0.2
Lexique	Uninflected	Token	ALL	G1	5	ain	#	2519.18	2452.29	0.97344771
Lexique	Uninflected	Token	ALL	G1	5	ain	t	2519.18	66.69	0.0264729
Lexique	Uninflected	Token	ALL	G1	5	ain	g	2519.18	0.2	0.00007939
Lexique	Uninflected	Token	SUB	G1	5	ain	t	66.89	66.69	0.99701002
Lexique	Uninflected	Token	SUB	G1	5	ain	g	66.89	0.2	0.00298998
Lexique	Inflected	Type	ALL	G1	5	ain	s	97	84	0.86597938
Lexique	Inflected	Type	ALL	G1	5	ain	ts	97	5	0.05154639
Lexique	Inflected	Type	ALL	G1	5	ain	t	97	3	0.03092784
Lexique	Inflected	Type	ALL	G1	5	ain	c	97	2	0.02061856
Lexique	Inflected	Type	ALL	G1	5	ain	cs	97	2	0.02061856
Lexique	Inflected	Type	ALL	G1	5	ain	gs	97	1	0.01030928
Lexique	Inflected	Type	SUB	G1	5	ain	s	97	84	0.86597938
