Corpus	InfMorpho	FreqCount	Phoneme	Position	Unit	TotalFreq	UnitFreq	UnitProb
Lexique	All Words	Type	R	Any	rr	69185	1862	0.0269133
Lexique	All Words	Type	R	Any	re	69185	470	0.0067934
Lexique	All Words	Type	R	Any	rre	69185	91	0.0013153
Lexique	All Words	Type	R	Any	rh	69185	76	0.0010985
Lexique	All Words	Type	R	Any	rrh	69185	16	0.0002313
Lexique	All Words	Type	R	Any	gh	69185	1	0.0000145
Lexique	All Words	Type	R	Any	h	69185	1	0.0000145
Lexique	All Words	Type	R	Any	j	69185	1	0.0000145
Lexique	All Words	Type	R	Any	rp	69185	1	0.0000145
Lexique	All Words	Type	a	Any	a	50626	48009	0.9483072
Lexique	All Words	Type	a	Any	â	50626	1887	0.0372733
Lexique	All Words	Type	a	Any	ha	50626	557	0.0110023
Lexique	All Words	Type	a	Any	e	50626	53	0.0010469
Lexique	All Words	Type	a	Any	ap	50626	41	0.0008099
Lexique	All Words	Type	a	Any	hâ	50626	41	0.0008099
Lexique	All Words	Type	a	Any	à	50626	11	0.0002173
Lexique	All Words	Type	a	Any	ah	50626	8	0.000158
Lexique	All Words	Type	a	Any	o	50626	7	0.0001383
Lexique	All Words	Type	a	Any	ea	50626	3	0.0000593
Lexique	All Words	Type	a	Any	aa	50626	2	0.0000395
Lexique	All Words	Type	a	Any	ae	50626	2	0.0000395
Lexique	All Words	Type	a	Any	ag	50626	2	0.0000395
Lexique	All Words	Type	a	Any	ad	50626	1	0.0000198
Lexique	All Words	Type	a	Any	ao	50626	1	0.0000198
Lexique	All Words	Type	a	Any	ho	50626	1	0.0000198
Lexique	All Words	Type	i	Any	i	42381	39871	0.9407753
Lexique	All Words	Type	i	Any	y	42381	1221	0.0288101
Lexique	All Words	Type	i	Any	ie	42381	303	0.0071494
Lexique	All Words	Type	i	Any	î	42381	288	0.0067955
Lexique	All Words	Type	i	Any	hi	42381	223	0.0052618
Lexique	All Words	Type	i	Any	ï	42381	210	0.0049551
Lexique	All Words	Type	i	Any	hy	42381	167	0.0039404
Lexique	All Words	Type	i	Any	ee	42381	46	0.0010854
Lexique	All Words	Type	i	Any	ea	42381	38	0.0008966
Lexique	All Words	Type	i	Any	e	42381	5	0.000118
Lexique	All Words	Type	i	Any	ii	42381	3	0.0000708
Lexique	All Words	Type	i	Any	u	42381	3	0.0000708
Lexique	All Words	Type	i	Any	hî	42381	1	0.0000236
Lexique	All Words	Type	i	Any	il	42381	1	0.0000236
Lexique	All Words	Type	i	Any	yi	42381	1	0.0000236
Lexique	All Words	Type	t	Any	t	40413	31523	0.7800213
Lexique	All Words	Type	t	Any	te	40413	5556	0.1374805
Lexique	All Words	Type	t	Any	tt	40413	1516	0.0375127
Lexique	All Words	Type	t	Any	tte	40413	1123	0.0277881
Lexique	All Words	Type	t	Any	th	40413	651	0.0161087
Lexique	All Words	Type	t	Any	the	40413	43	0.001064
Lexique	All Words	Type	t	Any	tth	40413	1	0.0000247
Lexique	All Words	Type	s	Any	s	33617	16361	0.4866883
Lexique	All Words	Type	s	Any	ss	33617	5511	0.1639349
Lexique	All Words	Type	s	Any	c	33617	4459	0.1326412
Lexique	All Words	Type	s	Any	t	33617	2308	0.0686557
Lexique	All Words	Type	s	Any	sse	33617	1873	0.0557159
Lexique	All Words	Type	s	Any	ce	33617	1591	0.0473272
Lexique	All Words	Type	s	Any	ç	33617	705	0.0209715
Lexique	All Words	Type	s	Any	sc	33617	510	0.0151709
Lexique	All Words	Type	s	Any	se	33617	246	0.0073177
Lexique	All Words	Type	s	Any	z	33617	20	0.0005949
Lexique	All Words	Type	s	Any	sç	33617	10	0.0002975
Lexique	All Words	Type	s	Any	x	33617	9	0.0002677
Lexique	All Words	Type	s	Any	sce	33617	7	0.0002082
Lexique	All Words	Type	s	Any	sth	33617	6	0.0001785
Lexique	All Words	Type	s	Any	sh	33617	1	0.0000297
Lexique	All Words	Type	o	Any	o	29318	25806	0.8802101
Lexique	All Words	Type	o	Any	au	29318	2232	0.0761307
Lexique	All Words	Type	o	Any	eau	29318	383	0.0130636
Lexique	All Words	Type	o	Any	ô	29318	315	0.0107443
Lexique	All Words	Type	o	Any	ho	29318	291	0.0099256
Lexique	All Words	Type	o	Any	u	29318	146	0.0049799
Lexique	All Words	Type	o	Any	hau	29318	56	0.0019101
Lexique	All Words	Type	o	Any	oo	29318	17	0.0005798
Lexique	All Words	Type	o	Any	hô	29318	14	0.0004775
Lexique	All Words	Type	o	Any	aw	29318	8	0.0002729
Lexique	All Words	Type	o	Any	a	29318	6	0.0002047
Lexique	All Words	Type	o	Any	ach	29318	6	0.0002047
Lexique	All Words	Type	o	Any	oa	29318	6	0.0002047
Lexique	All Words	Type	o	Any	ow	29318	5	0.0001705
Lexique	All Words	Type	o	Any	aul	29318	4	0.0001364
Lexique	All Words	Type	o	Any	os	29318	4	0.0001364
Lexique	All Words	Type	o	Any	aux	29318	3	0.0001023
Lexique	All Words	Type	o	Any	ao	29318	2	0.0000682
Lexique	All Words	Type	o	Any	ha	29318	2	0.0000682
Lexique	All Words	Type	o	Any	haw	29318	2	0.0000682
Lexique	All Words	Type	o	Any	heau	29318	2	0.0000682
Lexique	All Words	Type	o	Any	oh	29318	2	0.0000682
Lexique	All Words	Type	o	Any	oi	29318	2	0.0000682
Lexique	All Words	Type	o	Any	ou	29318	2	0.0000682
Lexique	All Words	Type	o	Any	haut	29318	1	0.0000341
Lexique	All Words	Type	o	Any	ü	29318	1	0.0000341
Lexique	All Words	Type	l	Any	l	29063	22978	0.7906273
Lexique	All Words	Type	l	Any	le	29063	3650	0.1255892
Lexique	All Words	Type	l	Any	ll	29063	1499	0.0515776
Lexique	All Words	Type	l	Any	lle	29063	876	0.0301414
Lexique	All Words	Type	l	Any	lh	29063	32	0.0011011
Lexique	All Words	Type	l	Any	lp	29063	28	0.0009634
Lexique	All Words	Type	k	Any	c	25459	18230	0.7160533
Lexique	All Words	Type	k	Any	qu	25459	2649	0.1040496
Lexique	All Words	Type	k	Any	que	25459	2500	0.0981971
Lexique	All Words	Type	k	Any	cc	25459	807	0.031698
Lexique	All Words	Type	k	Any	k	25459	540	0.0212106
Lexique	All Words	Type	k	Any	ch	25459	345	0.0135512
Lexique	All Words	Type	k	Any	q	25459	122	0.004792
Lexique	All Words	Type	k	Any	ck	25459	111	0.00436
Lexique	All Words	Type	k	Any	cqu	25459	73	0.0028674
Lexique	All Words	Type	k	Any	kh	25459	30	0.0011784
Lexique	All Words	Type	k	Any	cque	25459	19	0.0007463
Lexique	All Words	Type	k	Any	cch	25459	14	0.0005499
Lexique	All Words	Type	k	Any	ke	25459	11	0.0004321
Lexique	All Words	Type	k	Any	cke	25459	5	0.0001964
Lexique	All Words	Type	k	Any	ckh	25459	1	0.0000393
Lexique	All Words	Type	k	Any	g	25459	1	0.0000393
